USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
blaufer,21951,0.0,0.0,148492,3116,?,S,18:24,0:00,/usr/libexec/gvfs-gdu-volume-monitor
blaufer,21954,0.0,0.0,259924,7208,?,S,18:24,0:00,gnome-power-manager
blaufer,21956,0.0,0.0,231872,5600,?,S,18:24,0:00,/usr/libexec/polkit-gnome-authentication-agent-1
blaufer,21959,0.0,0.1,430800,8800,?,Sl,18:24,0:00,/usr/libexec/evolution/2.32/evolution-alarm-notify
blaufer,21960,0.0,0.2,326360,19312,?,S,18:24,0:00,python,/usr/share/system-config-printer/applet.py
blaufer,21961,0.0,0.1,382628,11264,?,S,18:24,0:00,gnome-volume-control-applet
blaufer,21962,0.0,0.1,333664,10708,?,S,18:24,0:00,nm-applet,--sm-disable
blaufer,21963,0.0,0.0,32492,5368,?,S,18:24,0:00,/usr/sbin/restorecond,-u
blaufer,21965,0.0,0.0,232184,6092,?,S,18:24,0:00,rhsm-icon
blaufer,21967,0.0,0.0,237752,5368,?,S,18:24,0:00,abrt-applet
blaufer,21969,0.0,0.0,117576,3996,?,S,18:24,0:00,/usr/libexec/im-settings-daemon
blaufer,21971,0.0,0.1,283820,8660,?,S,18:24,0:00,gpk-update-icon
blaufer,21974,0.0,0.0,257520,6816,?,S,18:24,0:00,/usr/libexec/gdu-notification-daemon
blaufer,21975,0.0,0.1,274820,8232,?,S,18:24,0:00,bluetooth-applet
blaufer,21988,0.0,0.0,232616,2056,?,Sl,18:24,0:00,/usr/libexec/gvfs-afc-volume-monitor
blaufer,21998,0.0,0.0,151140,2188,?,S,18:24,0:00,/usr/libexec/gvfs-gphoto2-volume-monitor
blaufer,22021,0.0,0.0,698488,5348,?,Ssl,18:24,0:00,/usr/libexec/bonobo-activation-server,--ac-activate,--ior-output-fd=20
