Year MO DY HR MN BOUH
2013 04 02 06 09 20814.04
2013 04 02 06 10 20813.96
2013 04 02 06 11 20814.06
2013 04 02 06 12 20813.95
2013 04 02 06 13 20813.98
2013 04 02 06 14 20814.06
2013 04 02 06 15 20814.10
2013 04 02 06 16 20814.20
2013 04 02 06 17 20814.30
2013 04 02 06 18 20814.39
2013 04 02 06 19 20814.70
2013 04 02 06 20 20814.90
2013 04 02 06 21 20814.93
2013 04 02 06 22 20815.28
2013 04 02 06 23 20815.56
2013 04 02 06 24 20815.89
2013 04 02 06 25 20816.06
2013 04 02 06 26 20816.13
2013 04 02 06 27 20816.07
2013 04 02 06 28 20816.16
2013 04 02 06 29 20816.05
2013 04 02 06 30 20816.08
2013 04 02 06 31 20816.03
2013 04 02 06 32 20815.96
2013 04 02 06 33 20815.93
2013 04 02 06 34 20815.84
2013 04 02 06 35 20815.78
2013 04 02 06 36 20815.63
2013 04 02 06 37 20815.41
2013 04 02 06 38 20815.26
2013 04 02 06 39 20815.10
2013 04 02 06 40 20814.96
2013 04 02 06 41 20814.96
2013 04 02 06 42 20815.00
2013 04 02 06 43 20814.97
2013 04 02 06 44 20814.85
2013 04 02 06 45 20814.76
2013 04 02 06 46 20814.61
2013 04 02 06 47 20814.71
2013 04 02 06 48 20814.88
2013 04 02 06 49 20814.90
2013 04 02 06 50 20814.94
2013 04 02 06 51 20814.85
2013 04 02 06 52 20814.85
2013 04 02 06 53 20814.77
2013 04 02 06 54 20814.85
2013 04 02 06 55 20814.93
2013 04 02 06 56 20814.93
2013 04 02 06 57 20815.00
2013 04 02 06 58 20815.15
2013 04 02 06 59 20815.22
2013 04 02 07 00 20815.47
2013 04 02 07 01 20815.47
2013 04 02 07 02 20815.51
2013 04 02 07 03 20815.60
2013 04 02 07 04 20815.62
2013 04 02 07 05 20815.62
2013 04 02 07 06 20815.73
2013 04 02 07 07 20815.81
2013 04 02 07 08 20815.75
2013 04 02 07 09 20815.80
2013 04 02 07 10 20815.85
2013 04 02 07 11 20816.02
2013 04 02 07 12 20816.13
2013 04 02 07 13 20816.13
2013 04 02 07 14 20816.23
2013 04 02 07 15 20816.33
2013 04 02 07 16 20816.37
2013 04 02 07 17 20816.32
2013 04 02 07 18 20816.22
2013 04 02 07 19 20816.19
2013 04 02 07 20 20816.12
2013 04 02 07 21 20816.04
